,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
RARA-AS1,169.427.576.046.807,-178.253.732.796.656,343.490.772.841.218,-51.894.765.999.742,"2,11E+07","1,86E+09",FALSE
RPS29,231.725.691.957.427,178.201.202.347.037,522.108.161.064.324,341.310.892.332.676,64.226.266.269.492,896.312.020.127.544,FALSE
JAK2,783.239.904.623.563,-178.178.374.993.549,397.070.065.067.094,-448.732.832.487.489,"7,21E+08",303.524.024.230.845,FALSE
AP5B1,294.248.322.322.875,-178.022.266.118.824,377.023.558.421.948,-472.178.096.413.777,"2,34E+08",122.873.572.477.333,FALSE
FBL,674.281.302.196.497,178.020.383.556.148,454.179.200.006.132,391.960.670.047.735,"8,87E+09",205.182.631.409.274,FALSE
THOC6,81.719.855.414.977,177.932.965.932.286,486.411.785.866.126,365.807.266.810.879,254.119.004.708.353,452.141.937.302.212,FALSE
NBEAL2,599.849.679.907.025,-17.786.459.946.922,535.723.127.542.244,-332.008.439.294.409,899.902.398.057.287,114.164.481.088.358,FALSE
HSPA7,209.051.268.233.582,-177.781.562.815.481,417.784.445.494.153,-425.534.183.315.997,"2,09E+09",676.296.653.084.889,FALSE
TMEM110-MUSTN1,785.245.660.189.368,-177.706.700.602.978,415.155.302.831.654,-428.048.731.139.628,"1,86E+09",621.887.705.198.368,FALSE
SHISA5,357.719.711.894.929,-177.597.104.903.985,571.117.384.654.668,-310.964.277.530.041,187.313.731.676.641,189.054.257.501.955,FALSE
MTHFD2,257.292.286.673.986,-177.588.421.429.213,339.951.509.596.466,-522.393.389.692.596,"1,75E+07","1,59E+09",FALSE
MX2,528.115.388.719.844,-177.520.670.386.269,442.550.037.835.485,-401.131.296.371.646,"6,04E+09",15.202.135.717.779,FALSE
GAS5,43.930.722.747.351,177.402.841.026.451,482.706.397.735.442,367.517.070.125.267,237.690.438.733.789,427.580.355.482.471,FALSE
PHC2,336.143.790.837.622,-177.039.195.632.179,401.230.292.669.585,-441.240.850.620.348,"1,02E+09",387.341.835.401.849,FALSE
NCAPH2,146.683.093.963.838,176.471.059.410.965,534.608.622.769.894,330.093.926.462.765,963.617.398.867.179,1.195.871.211.543,FALSE
PPP1R3D,37.850.629.550.361,-176.464.223.126.697,422.210.770.505.451,-417.952.917.012.141,"2,92E+08",858.647.324.806.398,FALSE
CARD6,33.384.587.430.747,-176.460.657.823.689,379.795.806.235.548,-464.619.816.560.714,"3,38E+08",164.791.639.873.685,FALSE
TMEM88,528.378.136.616.046,-176.242.111.558.178,497.348.839.643.418,-35.436.317.029.419,394.656.137.270.547,628.638.721.448.406,FALSE
IL15RA,940.225.258.600.516,-175.709.288.970.522,314.051.350.279.913,-559.492.225.758.343,"2,21E+06","3,31E+08",FALSE
GTPBP1,118.158.229.628.271,-17.567.737.114.112,273.407.667.678.984,-642.547.345.626.708,"1,31E+04","6,46E+03",FALSE
AKIRIN2,102.766.746.003.005,-175.576.853.170.596,318.938.782.893.035,-550.503.302.163.414,"3,69E+06","4,95E+08",FALSE
TRIM38,189.230.801.469.261,-175.049.482.598.749,323.003.787.095.949,-541.942.508.391.551,"5,98E+06","7,18E+08",FALSE
BCL6,383.913.511.199.822,-174.867.051.671.384,505.249.783.546.599,-346.100.201.060.762,53.816.879.269.631,783.884.429.208.354,FALSE
TLR7,33.145.700.740.078,-1.748.427.224.209,428.473.259.769.363,-408.059.822.718.025,"4,49E+09",121.400.931.483.034,FALSE
HMGB2,123.891.327.299.757,-174.614.146.156.953,30.593.889.249.553,-570.748.441.731.724,"1,15E+05","2,02E+08",FALSE
MMP25-AS1,352.377.597.612.338,-174.292.646.636.099,624.320.636.485.663,-27.917.168.911.347,524.292.067.287.282,387.778.925.253.661,FALSE
ELP2,647.443.966.440.168,174.127.667.650.906,365.415.171.917.243,476.520.081.903.828,"1,89E+08",101.977.806.701.881,FALSE
PHACTR2,306.932.625.447.207,-174.072.220.088.173,327.325.923.172.376,-531.800.898.630.638,"1,05E+07","1,07E+09",FALSE
CD300E,203.082.692.530.746,-173.879.273.703.454,518.689.305.774.923,-335.228.183.360.515,801.483.826.968.495,104.110.740.849.381,FALSE
UGCG,467.126.900.711.422,-173.876.785.694.568,503.082.290.156.074,-345.622.950.950.282,547.788.687.696.454,790.860.890.512.056,FALSE
CD55,228.551.880.718.406,-173.767.918.628.071,540.927.680.408.578,-321.240.574.149.985,131.628.333.488.997,146.890.522.841.684,FALSE
CMTR1,104.784.204.779.443,-17.376.719.151.355,326.090.847.481.428,-532.879.695.507.084,"9,89E+06","1,02E+09",FALSE
FFAR2,549.113.311.820.282,-173.550.280.168.136,476.981.462.438.258,-363.851.205.623.323,274.217.793.063.191,480.407.669.721.304,FALSE
HIST2H2BE,116.711.219.003.681,-173.443.622.096.221,536.034.985.417.884,-323.567.727.507.576,121.354.503.741.277,139.100.313.082.338,FALSE
SLC6A12,336.079.293.991.457,-173.280.784.662.326,386.226.982.684.084,-448.650.126.560.582,"7,24E+08",303.583.856.142.284,FALSE
HSPA6,306.386.123.928.136,-173.244.291.357.741,436.171.938.096.781,-397.192.657.816.745,"7,13E+09",174.485.965.395.755,FALSE
MIR3652,779.494.446.899.293,-173.187.021.556.947,466.299.175.340.565,-371.407.522.714.273,203.948.123.600.125,386.589.536.384.206,FALSE
RNU1-1,481.271.970.049.711,173.139.531.076.682,514.489.368.347.846,336.526.936.664.748,764.689.660.289.537,101.063.240.529.749,FALSE
ACSL3,249.610.529.822.512,-172.738.938.578.049,295.432.562.970.629,-584.698.371.909.742,"5,01E+05","1,09E+08",FALSE
CLEC1A,191.853.737.244.502,-172.631.034.789.053,426.323.246.323.306,-404.929.912.402.986,"5,14E+09",134.070.734.322.266,FALSE
CCR1,27.249.436.853.903,-172.566.531.293.723,419.637.081.656.475,-41.122.803.211.893,"3,92E+08",109.513.212.632.268,FALSE
OPRL1,223.611.023.080.822,-172.314.169.861.899,624.579.960.596.924,-275.888.085.966.151,579.996.760.845.943,418.662.218.825.821,FALSE
TBC1D30,328.313.884.472.012,-172.299.125.485.339,632.923.974.655.219,-272.227.206.402.156,648.347.420.303.298,451.171.683.897.672,FALSE
KLLN,21.507.860.151.532,-172.210.409.232.852,393.574.187.664.244,-437.555.141.140.921,"1,21E+09",430.355.375.090.818,FALSE
APOL6,342.031.765.976.559,-17.218.279.841.441,389.993.322.306.854,-44.150.191.443.261,"1,01E+09",384.188.356.171.024,FALSE
CNIH4,353.263.632.500.458,-172.174.251.990.133,448.119.052.074.499,-38.421.542.488.113,121.959.147.739.156,264.438.038.016.174,FALSE
ABCA5,391.930.983.657.354,172.148.515.230.609,488.292.057.452.781,352.552.355.917.147,422.646.582.261.081,659.409.612.953.165,FALSE
KLHDC7B,174.549.640.478.396,-172.099.166.929.683,536.064.798.611.118,-321.041.723.641.568,132.542.430.690.769,147.621.720.901.194,FALSE
LIMK2,341.245.336.681.242,-171.996.154.263.977,483.116.887.448.343,-356.013.541.924.402,370.663.598.003.378,599.633.806.415.394,FALSE
NUDT16,723.219.432.324.617,-171.961.521.114.426,441.786.268.971.935,-389.241.434.584.628,"9,93E+09",22.457.473.922.521,FALSE
EXT1,138.156.178.314.622,-171.449.403.243.445,441.884.567.533.239,-387.995.906.262.439,104.474.047.000.014,233.135.264.442.163,FALSE
APBB1,160.709.430.282.362,171.421.533.393.687,445.887.386.999.844,384.450.285.860.514,120.797.077.060.563,262.417.269.309.661,FALSE
RPL13,29501477.22.00,171.196.644.748.995,589.092.356.382.182,290.610.874.329.405,365.954.244.944.874,304.777.277.225.477,FALSE
LGALSL,208.035.535.935.054,-171.063.824.213.289,450.707.428.607.497,-379.545.162.461.171,147.374.930.717.893,305.602.015.425.012,FALSE
MXRA7,581.940.017.326.183,170.973.616.463.353,385.681.069.748.417,443.303.106.825.752,"9,29E+08",364.166.237.530.785,FALSE
PTRH1,201.756.052.720.561,170.822.929.232.666,610.694.003.598.725,279.719.349.176.565,515.486.518.914.184,384.256.454.131.782,FALSE
UBE2F,367.830.268.288.109,-170.822.521.504.179,373.859.939.569.047,-456.915.821.740.858,"4,90E+08",220.746.263.260.938,FALSE
PNPLA1,200.917.955.118.671,-17.060.627.260.565,384.928.190.179.553,-443.215.843.781.328,"9,33E+08",364.391.394.051.399,FALSE
STBD1,480.552.805.749.224,-170.440.274.070.775,341.613.145.697.952,-498.927.738.048.685,"6,06E+07","4,32E+09",FALSE
BRCA2,439.020.192.824.631,-170.418.812.192.809,504.189.977.350.619,-338.005.156.485.484,724.722.316.801.578,975.851.006.271.783,FALSE
RPS5,310.451.049.480.907,170.299.587.076.616,522.123.350.814.652,326.167.344.959.583,110.756.650.885.405,130.563.920.442.413,FALSE
RAB24,189.477.970.074.274,-170.139.045.486.157,385.883.705.429.914,-440.907.566.430.163,"1,04E+09",390.753.943.835.471,FALSE
C5orf56,336.322.624.654.303,-170.039.347.557.966,403.666.675.927.607,-421.237.019.794.176,"2,53E+09",770.614.917.319.064,FALSE
HRH2,461.546.659.890.132,-169.739.614.144.219,476.042.083.170.634,-356.564.304.175.976,362.965.125.623.285,588.850.250.033.224,FALSE
SCARB2,491.057.563.309.878,-169.645.675.648.449,381.954.617.910.013,-444.151.393.107.168,"8,93E+08",352.693.447.064.815,FALSE
GZMM,454.653.317.480.876,169.546.920.095.972,48.274.667.467.746,351.213.025.360.044,444.530.074.985.847,685.116.960.163.998,FALSE
SMAD1,231.448.529.665.267,-169.498.394.230.215,455.763.867.139.733,-37.189.958.759.554,200.016.317.082.885,382.108.223.840.923,FALSE
ZFYVE26,367.705.370.563.834,-169.250.504.671.024,305.589.421.074.432,-553.849.357.991.354,"3,05E+06","4,39E+07",FALSE
HAUS4,614.979.637.823.081,-169.062.339.440.642,443.538.984.332.783,-381.166.809.260.211,138.032.140.450.785,291.550.047.720.808,FALSE
CPD,157.927.055.036.299,-168.778.417.475.546,593.286.433.180.395,-284.480.493.799.236,444.386.273.941.038,346.850.865.726.312,FALSE
CLEC10A,417.828.816.403.305,168.762.670.565.056,627.484.510.530.782,268.951.133.825.282,71.556.716.161.589,484.622.534.336.652,FALSE
LMO2,971.916.235.835.851,-168.232.516.792.709,448.963.523.490.944,-374.713.106.945.986,178.868.634.772.476,348.717.398.218.818,FALSE
IRAK3,429.763.069.243.321,-168.208.853.902.654,578.809.033.521.479,-290.612.005.274.469,365.941.017.853.508,304.777.277.225.477,FALSE
UROS,459.867.278.288.908,16.817.295.347.764,446.632.434.822.556,376.535.469.360.737,166.312.820.994.094,331.607.993.607.979,FALSE
SELL,215.925.658.273.153,-168.044.810.887.849,302.241.450.053.762,-555.995.251.008.613,"2,70E+06","4,00E+08",FALSE
PDGFD,386.494.496.653.464,167.955.635.135.216,410.469.860.125.344,409.178.971.347.442,"4,28E+09",117.074.030.132.152,FALSE
RPS27A,110.653.042.149.975,167.945.551.943.382,423.984.987.872.749,396.112.024.593.163,"7,46E+09",180.637.164.011.436,FALSE
TDRD7,531.320.196.429.349,-167.906.328.997.326,378.047.425.627.462,-444.140.913.586.818,"8,94E+08",352.693.447.064.815,FALSE
BCAS4,503.395.082.220.744,167.756.759.621.469,527.147.924.790.498,318.234.696.054.508,146.086.697.692.568,157.925.951.391.824,FALSE
NAMPT,18590001.44.00,-167.729.327.466.511,453.218.741.478.032,-37.008.471.211.829,214.880.912.997.739,397.847.102.849.076,FALSE
C12orf57,228.451.758.646.852,167.493.187.924.975,488.991.929.678.097,342.527.509.677.379,614.177.194.661.268,864.776.654.952.069,FALSE
GADD45G,316.568.136.830.005,-167.136.343.278.197,546.340.103.276.706,-305.919.961.349.692,221.929.223.397.541,212.162.849.358.671,FALSE
ACSL4,127.303.378.934.483,-166.522.469.895.944,489.154.925.050.289,-340.428.893.522.486,66.336.544.030.925,917.052.466.269.938,FALSE
LRG1,138.426.149.722.214,-166.440.651.457.467,577.014.307.513.066,-288.451.515.482.913,39.201.688.991.165,319.310.913.627.866,FALSE
IRF2BPL,817.157.836.758.385,-166.341.844.610.032,327.430.254.263.265,-508.022.219.829.104,"3,77E+07","2,97E+08",FALSE
ATP8B4,872.442.322.487.822,-166.305.429.571.918,396.179.421.466.125,-419.773.013.339.456,"2,70E+09",813.446.936.451.934,FALSE
CHMP5,996.291.293.181.878,-166.152.926.293.883,454.730.111.391.945,-365.388.000.775.411,258.307.020.040.261,456.742.878.071.191,FALSE
ABCD1,34.215.371.073.583,-16.606.783.776.034,350.152.249.429.077,-47.427.322.837.741,"2,11E+08",112.901.382.959.254,FALSE
EIF4G3,593.302.024.334.526,-165.996.604.835.407,449.222.790.028.288,-369.519.553.593.785,219.717.629.114.469,403.523.278.591.066,FALSE
EIF2D,823.326.818.292.368,165.912.326.688.413,415.617.679.238.368,399.194.584.293.075,"6,55E+09",162.833.933.400.491,FALSE
TRAPPC6A,10.565.599.237.738,165.867.389.205.337,474.382.604.810.643,349.648.970.099.874,471.422.691.162.769,712.129.244.067.732,FALSE
BISPR,239.414.770.152.401,-165.860.814.454.695,304.700.342.919.865,-544.340.754.149.776,"5,23E+06","6,36E+08",FALSE
INSL3,38.090.111.837.988,-165.601.793.415.011,544.227.274.382.314,-304.287.934.857.667,234.326.262.553.808,220.684.642.809.759,FALSE
HIST2H2AC,201.426.321.756.251,-165.558.554.266.375,443.479.481.315.057,-373.317.281.276.332,189.082.767.327.079,364.888.149.131.191,FALSE
MIR4707,227.610.838.478.793,-165.258.642.178.132,363.958.508.784.542,-45.405.901.549.059,"5,61E+07",244.193.172.711.087,FALSE
TM2D1,283.610.071.799.559,165.197.340.003.068,47.868.536.645.256,345.106.309.029.899,558.383.023.872.487,803.071.675.569.447,FALSE
MKNK1,669.029.503.862.453,-16.516.808.339.075,343.021.860.583.313,-481.508.913.484.056,"1,47E+08","8,42E+09",FALSE
COLGALT2,189.511.785.001.721,165.014.095.023.899,526.587.973.933.983,313.364.723.829.767,172.648.276.133.149,178.518.004.469.498,FALSE
CEBPD,245.332.741.543.479,-164.889.104.030.134,472.470.209.639.172,-348.993.652.226.372,483.135.292.325.693,723.108.073.739.429,FALSE
HIST1H2BC,139.504.856.810.193,-164.667.909.243.487,293.245.006.876.135,-5.615.369.584.555,"1,96E+06","3,02E+08",FALSE
IFI16,562.152.638.892.039,-164.629.952.498.121,391.914.231.631.598,-420.066.277.799.461,"2,66E+09",805.110.543.587.206,FALSE
HNRNPLL,166.440.701.756.931,-164.540.590.617.139,370.700.968.462.753,-443.863.395.608.236,"9,05E+08",356.039.056.967.821,FALSE
KIF23,141.559.134.320.104,-164.539.663.095.974,57.376.222.221.246,-286.773.260.291.518,413.424.782.352.286,329.982.915.322.079,FALSE
FPR2,232.112.551.790.575,-164.478.868.840.176,495.644.658.296.555,-331.848.363.715.775,905.076.251.169.615,11.447.534.214.914,FALSE
GRB10,495.582.182.536.938,-164.428.409.632.095,469.941.171.322.442,-349.891.475.074.175,467.155.916.108.063,708.499.098.831.444,FALSE
NUCB1,327.096.104.444.444,-164.271.768.999.228,46.008.104.216.615,-357.049.636.789.651,356.305.395.232.803,582.186.680.892.566,FALSE
LILRB1,165.656.085.736.602,-164.269.216.225.088,419.797.184.513.633,-391.306.140.881.833,"9,11E+09",209.129.944.527.658,FALSE
RBCK1,209.251.575.981.832,-164.184.614.355.948,34.555.256.387.535,-475.136.438.041.807,"2,02E+08",108.696.457.670.668,FALSE
PIK3AP1,333.872.428.620.721,-164.169.306.838.801,35.056.646.755.157,-468.297.233.290.435,"2,83E+08",143.959.963.306.513,FALSE
ITGAM,379.915.020.202.979,-164.110.979.559.656,478.381.144.832.743,-343.054.866.046.265,60.236.192.403.413,852.349.595.981.297,FALSE
ISG20,329.473.586.670.124,-16.403.043.485.337,500.682.533.159.626,-327.613.655.340.108,105.237.664.940.441,126.473.716.401.025,FALSE
KCNJ15,285.760.565.541.337,-16.386.015.071.838,452.754.003.673.541,-361.918.722.725.491,295.529.768.593.008,507.607.983.554.707,FALSE
PRR5,421.213.751.261.585,-163.514.667.167.416,60.592.411.345.215,-269.859.976.748.275,69.631.862.955.856,474.970.931.226.996,FALSE
CLEC17A,628.666.987.038.885,163.470.424.843.973,396.706.911.424.766,412.068.507.344.307,"3,78E+09",106.638.862.333.782,FALSE
KCNJ2,105.563.104.771.257,-163.384.928.539.467,565.843.665.098.441,-288.745.705.955.801,388.369.613.102.854,317.896.940.704.253,FALSE
PIGX,120.391.316.676.212,163.325.378.804.536,319.103.679.957.099,511.825.431.867.455,"3,08E+07","2,57E+09",FALSE
PATL1,817.017.528.516.198,-163.191.003.494.268,371.397.461.081.751,-43.939.719.732.857,"1,11E+08",408.780.088.924.537,FALSE
GRN,731.860.303.322.933,-163.136.957.365.417,430.822.982.174.422,-378.663.544.228.869,152.700.878.209.722,31.154.803.505.937,FALSE
RPL34,147.173.493.605.732,162.885.472.804.693,519.387.818.781.959,313.610.498.580.201,171.207.902.974.461,177.834.802.679.756,FALSE
SYNPO2,12.163.034.349.378,-162.780.168.017.355,497.065.154.624.875,-327.482.557.372.589,10.572.723.198.183,12.657.056.324.648,FALSE
MIR4426,410.886.040.361.289,162.580.438.805.845,381.941.369.490.976,425.668.575.840.634,"2,07E+09",674.161.105.021.873,FALSE
CSF2RB,840.145.524.176.437,-162.483.236.477.116,529.770.484.727.246,-30.670.496.217.012,216.182.966.191.276,208.064.702.903.924,FALSE
PARP14,50.498.973.534.405,-162.323.261.161.814,400.631.311.308.441,-405.168.683.974.487,"5,08E+09",133.626.908.454.938,FALSE
GTPBP2,979.921.712.642.965,-162.309.649.854.195,312.989.528.634.097,-518.578.530.606.193,"2,15E+07","1,89E+09",FALSE
CARD16,185.626.586.796.812,-16.213.009.745.603,502.717.680.277.637,-322.507.251.717.286,125.940.763.478.444,142.793.523.528.056,FALSE
ALKBH2,288.797.748.554.663,161.569.695.357.361,436.390.918.764.087,370.240.736.940.508,213.563.344.476.556,397.847.102.849.076,FALSE
APOL1,795.135.954.600.334,-161.486.738.985.314,326.478.448.142.385,-494.632.156.897.799,"7,56E+07","5,16E+09",FALSE
SLC22A15,228.830.242.040.225,-16.129.558.432.079,475.192.499.947.463,-339.432.091.917.744,687.990.194.454.127,941.960.164.195.596,FALSE
C9orf66,543.928.928.786.297,-160.832.507.866.049,312.144.354.315.654,-515.250.414.247.147,"2,57E+07","2,20E+09",FALSE
SQRDL,147.734.587.564.563,-160.783.856.210.876,361.908.762.778.469,-444.266.270.251.365,"8,89E+08",352.693.447.064.815,FALSE
SECTM1,454.599.209.746.184,-160.698.367.445.114,487.680.154.024.171,-329.515.905.289.738,983.659.875.702.385,121.151.629.399.414,FALSE
CTSF,211.735.452.957.797,160.529.648.494.578,530.411.805.523.338,302.650.971.986.171,247.394.866.938.804,229.393.370.523.338,FALSE
MCTP1,165.699.748.305.091,-160.448.625.742.502,518.587.752.643.343,-309.395.323.982.612,19.750.861.312.357,197.076.617.031.873,FALSE
CD8B,266.013.239.338.383,160.433.756.190.246,426.488.212.213.303,376.173.951.813.719,168.735.728.044.998,334.102.600.408.542,FALSE
BCL2A1,251.340.320.035.874,-160.145.318.863.368,51.871.876.141.604,-308.732.459.235.117,201.966.927.794.168,200.124.484.056.689,FALSE
DOK3,257.102.912.627.424,-160.075.234.653.699,42.038.316.942.369,-380.784.118.624.798,14.018.525.129.998,293.899.410.124.315,FALSE
GIMAP8,137.347.745.272.017,-160.061.028.033.312,277.054.750.373.225,-577.723.456.528.688,"7,59E+04","1,44E+08",FALSE
IFI30,9696176.08.00,-159.927.926.851.517,455.438.252.722.159,-351.151.722.314.992,44.555.659.088.842,685.772.323.762.811,FALSE
CERS4,565.907.419.582.744,159.875.033.335.406,467.676.931.645.311,341.849.303.477.419,629.689.294.534.541,881.178.699.897.723,FALSE
ZNF200,355.983.531.864.768,-159.855.013.463.256,28.357.187.817.453,-563.719.556.721.595,"1,73E+06","2,82E+08",FALSE
CSF3R,278.295.532.332.923,-159.822.971.699.643,452.855.509.193.611,-352.922.661.765.197,416.776.069.097.526,652.797.924.776.108,FALSE
TEX10,530.647.378.485.349,159.602.443.299.934,297.311.275.430.442,536.819.342.182.243,"7,95E+06","8,66E+08",FALSE
GK3P,134.101.499.501.541,-159.446.190.531.109,518.525.005.807.901,-307.499.520.264.562,210.505.939.638.039,205.439.259.068.407,FALSE
RNASEL,616.252.294.234.559,-159.387.905.349.935,37.379.551.589.024,-4.264.040.058.649,"2,01E+09",65.985.789.278.383,FALSE
ATF5,173.293.773.365.357,-159.158.513.389.864,531.751.582.690.321,-299.309.900.658.168,276.160.145.909.112,247.295.768.191.124,FALSE
JAG1,317.968.757.858.374,-159.089.191.248.521,44.985.808.671.583,-353.643.061.993.049,405.573.014.521.207,641.118.546.361.903,FALSE
SLC25A28,487.629.757.497.241,-159.049.020.551.838,329.272.595.754.971,-483.031.453.580.775,"1,36E+08","8,08E+09",FALSE
NEDD4,433.977.035.514.303,-158.923.988.298.424,524.933.116.331.285,-302.750.928.364.229,246.578.139.950.234,228.822.106.276.031,FALSE
POU6F1,412.894.746.171.463,158.899.530.592.147,450.585.158.213.009,352.651.497.049.597,421.067.359.668.654,657.845.648.906.987,FALSE
WDR75,567.592.729.916.962,158.715.335.861.446,451.172.162.876.566,351.784.416.063.073,435.067.780.748.649,673.262.963.288.785,FALSE
WLS,225.215.496.970.832,158.600.598.720.598,544.309.974.530.316,291.379.188.590.938,357.067.858.945.883,299.658.493.839.426,FALSE
RMI2,487.523.551.905.395,-158.521.316.127.705,496.469.753.979.298,-319.297.026.368.932,140.817.446.860.659,153.833.618.912.435,FALSE
EXOSC5,64.444.616.633.732,158.503.200.770.847,489.724.017.678.651,3.236.582.137.061,120.970.407.231.396,138.799.546.727.773,FALSE
ZNF683,934.194.644.637.658,158.218.065.853.918,557.661.084.795.084,28.371.724.362.308,455.150.231.752.406,352.508.414.109.087,FALSE
TLR2,247.595.242.192.184,-158.126.386.540.851,338.321.553.554.992,-467.384.903.147.026,"2,96E+08",149.839.731.831.057,FALSE
TIPARP,302.406.599.370.443,-158.087.833.755.054,490.312.041.975.546,-322.422.906.682.227,126.312.317.320.749,142.915.870.936.819,FALSE
RPL23,161.487.315.589.637,157.904.357.374.988,477.109.320.341.056,330.960.538.063.083,93.427.589.203.587,117.020.723.273.194,FALSE
ITIH4,891.947.240.483.345,-157.868.043.257.451,503.550.337.313.779,-313.509.954.336.657,171.795.805.630.014,178.205.180.182.917,FALSE
RHBDF2,132.778.025.076.323,-157.845.631.654.006,347.930.100.742.768,-453.670.525.536.692,"5,71E+08",246.848.593.952.742,FALSE
SSFA2,786.689.608.067.353,-157.779.127.045.072,414.231.774.215.095,-38.089.576.142.255,139.553.875.534.236,293.655.341.414.753,FALSE
KLRF1,158.456.554.925.337,157.140.371.892.623,495.234.110.814.927,317.305.226.883.588,150.845.364.822.492,161.891.683.095.083,FALSE
CD2AP,264.244.685.587.133,-156.972.093.053.423,307.581.456.712.766,-510.343.161.551.545,"3,34E+07","2,74E+09",FALSE
GAB2,147.523.493.630.323,-156.937.229.330.887,394.138.664.624.026,-398.177.706.012.658,"6,84E+09",168.493.294.592.289,FALSE
CSRNP1,113.029.206.782.007,-156.874.323.841.672,377.668.737.504.771,-415.375.455.427.233,"3,27E+09",939.588.125.420.727,FALSE
PHLDB2,218.645.092.618.588,15.682.614.899.233,38.720.067.606.251,405.025.504.054.162,"5,12E+09",134.070.734.322.266,FALSE
CD68,275.679.617.028.901,-156.785.979.126.476,43.641.019.342.776,-359.262.871.233.618,327.358.866.724.473,550.394.828.826.228,FALSE
DUSP5,184.950.202.169.414,-156.731.248.843.893,449.565.145.452.163,-348.628.559.018.417,489.777.824.599.158,728.281.106.851.811,FALSE
PRSS23,132.513.942.342.335,156.621.711.833.544,415.257.453.278.962,377.167.731.962.003,162.153.864.917.028,326.166.636.574.728,FALSE
TMEM260,271.005.432.673.734,-156.458.154.746.535,36.230.519.919.613,-431.840.765.999.713,"1,57E+09",536.646.051.308.206,FALSE
MOB3C,410.646.285.425.618,-156.336.399.395.377,217.257.475.533.281,-719.590.426.113.683,"6,20E+01","1,18E+05",FALSE
CASP4,326.578.572.849.253,-156.214.607.616.106,432.002.496.607.277,-361.605.798.213.979,299.123.402.788.462,511.469.626.507.108,FALSE
GM2A,496.272.630.233.479,-156.023.058.056.478,383.144.858.109.491,-407.216.891.351.029,"4,66E+09",124.406.330.117.958,FALSE
SEMA3B,140.419.809.971.046,-155.868.838.619.294,44.169.030.209.511,-352.891.693.297.197,417.264.083.438.652,652.797.924.776.108,FALSE
TRANK1,306.051.773.391.913,-155.615.277.169.455,338.873.067.510.553,-459.214.060.039.188,"4,39E+07",201.759.335.138.192,FALSE
DUS2,728.277.775.880.594,155.521.276.078.443,410.952.388.848.214,378.441.104.854.814,154.072.999.536.603,313.226.837.738.851,FALSE
PFDN4,429.949.571.218.467,155.464.928.228.334,541.822.549.704.791,28.692.960.142.216,411.386.591.516.861,329.253.619.385.951,FALSE
NDRG2,233.579.665.545.373,155.375.362.778.875,462.517.450.206.369,335.934.055.481.689,781.287.217.389.783,102.656.459.842.517,FALSE
FAM26F,527.458.665.738.365,-155.329.159.244.458,544.741.645.698.763,-285.142.802.043.731,435.233.390.318.004,340.922.858.281.376,FALSE
SLC2A3,328.018.317.104.933,-155.238.095.722.451,45.948.989.373.344,-337.848.770.646.756,728.856.912.075.952,9.768.052.975.589,FALSE
CASS4,126.258.441.814.701,155.204.225.823.315,569.960.882.304.199,272.306.803.224.576,646.787.371.829.306,450.617.591.674.602,FALSE
PCBP2-OT1,136.009.265.015.735,-155.202.604.121.644,443.278.646.259.192,-35.012.425.126.135,463.094.228.767.998,706.094.876.884.895,FALSE
UNC93B1,162.850.409.628.634,-155.179.333.771.782,461.338.798.953.855,-336.367.403.139.886,769.123.269.689.548,101.526.051.976.959,FALSE
MPO,29.794.608.580.532,-155.063.518.953.776,475.603.647.666.997,-326.035.175.958.841,111.274.117.203.003,130.563.920.442.413,FALSE
MRVI1,657.154.264.535.758,-154.758.986.810.319,46.232.291.408.999,-334.742.194.457.174,815.669.545.920.619,105.472.915.773.522,FALSE
GK,835.947.109.425.612,-154.732.096.918.041,561.913.743.824.439,-275.366.279.288.561,589.324.532.143.057,423.786.020.749.783,FALSE
RBM43,126.086.983.297.235,-15.458.730.769.465,267.940.343.506.996,-576.946.739.976.892,"7,95E+05","1,46E+08",FALSE
MIR3654,240.038.347.857.777,154.473.750.091.029,436.286.692.996.177,354.064.775.687.262,399.146.070.747.988,634.903.896.357.155,FALSE
PPP1R3B,108.260.685.784.606,-15.441.927.641.076,413.596.401.661.331,-373.357.398.155.521,188.781.707.857.697,364.888.149.131.191,FALSE
CCDC65,192.932.508.823.999,15.440.489.589.375,432.240.501.775.765,357.219.870.094.105,353.996.651.751.113,580.027.857.082.685,FALSE
FNDC3B,735.904.243.474.424,-154.399.558.518.881,472.053.063.729.756,-327.080.937.255.124,10.724.017.190.706,127.936.627.677.826,FALSE
DDHD2,949.148.894.296.339,154.324.252.667.112,375.739.154.419.722,410.721.775.603.729,"4,00E+09",111.205.721.687.658,FALSE
KPTN,558.974.278.549.253,-154.252.720.375.342,545.228.705.482.478,-28.291.379.163.326,466.735.807.484.144,356.299.992.259.482,FALSE
RPS3A,942.331.032.838.564,154.182.156.052.604,483.891.126.091.673,318.629.848.201.421,14.410.584.011.686,156.516.487.343.309,FALSE
CMAHP,971.817.328.284.405,-154.147.504.422.348,470.589.536.897.006,-327.562.540.890.248,105.428.294.709.355,126.569.442.227.388,FALSE
CCDC84,34.562.561.923.651,154.089.097.661.829,522.526.094.495.888,294.892.636.530.406,318.879.943.376.826,275.477.301.974.181,FALSE
DTX4,839.905.553.179.321,154.063.694.769.105,376.712.396.866.867,4.089.690.067.289,"4,32E+09",117.574.930.187.436,FALSE
